date;vendor;category;amount
2025-09-19;Copperfield Repairs;logistics;5.45
2025-07-15;Granite Works Ltd;telecom;193.74
2025-04-29;Larkspur Media;travel;123.97
2025-11-28;Kestrel Software;stationery;6.39
2025-12-17;Northwind Supplies;rent;29536.70
2025-02-20;Kestrel Software;travel;163.26
2025-02-09;Larkspur Media;repairs;4909.13
2025-05-05;Beacon Print Co;repairs;144.32
2025-09-16;Northwind Supplies;rent;4633.04
2025-08-26;Harbor Logistics;stationery;1197.06
2025-10-10;Northwind Supplies;stationery;42.66
2025-01-27;Copperfield Repairs;telecom;742.18
2025-08-25;Larkspur Media;rent;79.45
2025-10-07;Delta Facilities;advertising;8446.20
2025-09-13;Atlas Freight;rent;8047.16
2025-06-29;Beacon Print Co;logistics;14658.46
2025-08-23;Delta Facilities;travel;54.60
2025-04-28;Northwind Supplies;software;129.37
2025-02-05;Northwind Supplies;telecom;7279.80
2025-03-12;Atlas Freight;travel;57.79
2025-11-23;Kestrel Software;repairs;155.86
2025-11-14;Larkspur Media;repairs;527.47
2025-12-19;Beacon Print Co;repairs;15442.10
2025-01-30;Larkspur Media;stationery;715.16
2025-07-02;Atlas Freight;rent;337.07
2025-06-08;Copperfield Repairs;training;708.92
2025-01-30;Delta Facilities;software;208.32
2025-07-12;Larkspur Media;software;11386.96
2025-05-13;Atlas Freight;logistics;32.54
2025-10-22;Copperfield Repairs;telecom;171431.98
2025-01-06;Granite Works Ltd;repairs;19.13
2025-04-24;Delta Facilities;logistics;1064.27
2025-04-09;Northwind Supplies;repairs;130.34
2025-12-10;Larkspur Media;training;20.12
2025-10-17;Northwind Supplies;rent;19280.17
2025-06-17;Pinemark Services;software;176962.54
2025-07-30;Kestrel Software;telecom;717.82
2025-07-04;Atlas Freight;advertising;52.19
2025-04-27;Granite Works Ltd;logistics;95140.65
2025-06-01;Northwind Supplies;software;93.87
2025-01-24;Northwind Supplies;advertising;13034.85
2025-05-12;Northwind Supplies;repairs;125760.59
2025-12-07;Granite Works Ltd;logistics;2250.24
2025-09-08;Kestrel Software;stationery;29.35
2025-05-15;Pinemark Services;travel;1275.57
2025-04-22;Pinemark Services;telecom;83.36
2025-07-08;Kestrel Software;stationery;8871.67
2025-10-07;Larkspur Media;rent;2567.90
2025-01-22;Pinemark Services;software;1109.93
2025-12-13;Granite Works Ltd;software;3636.60
2025-12-29;Harbor Logistics;rent;1610.01
2025-05-25;Atlas Freight;repairs;85.55
2025-05-19;Larkspur Media;travel;751.05
2025-05-07;Copperfield Repairs;telecom;337.26
2025-05-17;Beacon Print Co;travel;6673.82
2025-04-16;Kestrel Software;logistics;494.02
2025-04-18;Pinemark Services;software;356.12
2025-01-30;Delta Facilities;advertising;303.70
2025-05-31;Northwind Supplies;stationery;3717.83
2025-04-20;Northwind Supplies;software;355.64
2025-12-22;Northwind Supplies;telecom;27.67
2025-06-22;Pinemark Services;logistics;74320.70
2025-11-09;Pinemark Services;telecom;28464.45
2025-09-26;Pinemark Services;travel;1370.82
2025-08-26;Copperfield Repairs;stationery;432.59
2025-07-26;Northwind Supplies;telecom;70.15
2025-12-08;Delta Facilities;software;313.32
2025-08-26;Larkspur Media;software;14.09
2025-05-13;Harbor Logistics;training;497.65
2025-10-28;Larkspur Media;telecom;448.01
2025-11-07;Atlas Freight;training;68.30
2025-01-31;Pinemark Services;telecom;141.11
2025-08-06;Beacon Print Co;advertising;38848.48
2025-04-09;Larkspur Media;advertising;1341.66
2025-06-11;Northwind Supplies;training;1277.56
2025-04-20;Northwind Supplies;travel;257.05
2025-07-06;Delta Facilities;telecom;32.07
2025-05-12;Larkspur Media;software;902.99
2025-07-05;Delta Facilities;advertising;2298.97
2025-08-17;Pinemark Services;stationery;596.87
2025-08-17;Pinemark Services;stationery;92.77
2025-09-29;Kestrel Software;repairs;46.56
2025-12-19;Kestrel Software;telecom;28.75
2025-09-22;Copperfield Repairs;repairs;2343.67
2025-06-11;Copperfield Repairs;software;27.16
2025-06-25;Larkspur Media;telecom;9695.40
2025-11-06;Beacon Print Co;software;750.82
2025-05-25;Larkspur Media;rent;66887.04
2025-07-30;Granite Works Ltd;travel;222.59
2025-09-04;Delta Facilities;repairs;13.91
2025-08-20;Kestrel Software;advertising;5601.78
2025-06-28;Granite Works Ltd;stationery;162.88
2025-01-09;Kestrel Software;telecom;11236.94
2025-02-06;Pinemark Services;software;3259.84
2025-06-10;Larkspur Media;travel;126.01
2025-05-11;Harbor Logistics;repairs;59.65
2025-05-18;Northwind Supplies;rent;9.03
2025-03-02;Delta Facilities;travel;68926.65
2025-03-05;Harbor Logistics;stationery;25722.99
2025-03-21;Copperfield Repairs;rent;25484.92
2025-04-26;Beacon Print Co;software;2226.28
2025-03-12;Northwind Supplies;software;918.90
2025-09-14;Copperfield Repairs;repairs;114.70
2025-07-05;Harbor Logistics;travel;125.77
2025-10-27;Kestrel Software;travel;33.63
2025-10-31;Delta Facilities;repairs;3537.71
2025-12-21;Delta Facilities;training;2.29
2025-04-05;Granite Works Ltd;rent;17.17
2025-01-23;Beacon Print Co;travel;9.00
2025-03-15;Harbor Logistics;repairs;309.69
2025-02-12;Atlas Freight;stationery;5902.31
2025-04-07;Larkspur Media;repairs;627.33
2025-03-24;Kestrel Software;travel;447.81
2025-01-23;Delta Facilities;rent;287.93
2025-01-25;Northwind Supplies;rent;33.49
2025-03-01;Larkspur Media;telecom;437.39
2025-08-21;Copperfield Repairs;training;74.88
2025-06-12;Kestrel Software;rent;22.49
2025-09-13;Copperfield Repairs;repairs;5896.09
2025-07-09;Kestrel Software;logistics;370.75
2025-08-04;Copperfield Repairs;stationery;53.76
2025-05-25;Copperfield Repairs;advertising;312205.11
2025-10-13;Beacon Print Co;stationery;638.90
2025-05-20;Pinemark Services;travel;24.28
2025-03-25;Northwind Supplies;software;958.31
2025-05-08;Atlas Freight;software;6140.92
2025-01-30;Copperfield Repairs;software;136.86
2025-10-01;Pinemark Services;training;725.38
2025-07-25;Copperfield Repairs;stationery;6121.40
2025-12-07;Copperfield Repairs;software;5276.72
2025-10-23;Atlas Freight;logistics;544.50
2025-09-04;Pinemark Services;telecom;22221.73
2025-10-22;Granite Works Ltd;advertising;690.07
2025-05-07;Atlas Freight;software;119.27
2025-03-19;Copperfield Repairs;stationery;251737.41
2025-12-15;Larkspur Media;repairs;69.01
2025-10-19;Delta Facilities;training;1000.57
2025-06-03;Copperfield Repairs;repairs;99.18
2025-10-13;Copperfield Repairs;software;11197.92
2025-01-31;Granite Works Ltd;stationery;25305.21
2025-07-15;Kestrel Software;telecom;82306.17
2025-01-01;Beacon Print Co;logistics;12968.24
2025-05-10;Pinemark Services;travel;175.94
2025-04-05;Beacon Print Co;training;223.80
2025-09-29;Kestrel Software;software;274.96
2025-03-02;Beacon Print Co;rent;2909.42
2025-07-20;Harbor Logistics;rent;196.09
2025-04-12;Harbor Logistics;logistics;119.96
2025-11-11;Pinemark Services;rent;2664.48
2025-10-21;Harbor Logistics;software;482.97
2025-07-24;Copperfield Repairs;rent;64.74
2025-02-08;Atlas Freight;rent;17606.78
2025-03-17;Atlas Freight;training;1254.58
2025-08-24;Kestrel Software;advertising;4554.60
2025-04-15;Granite Works Ltd;travel;9749.56
2025-05-17;Granite Works Ltd;repairs;7592.61
2025-10-10;Kestrel Software;logistics;455.35
2025-04-02;Atlas Freight;repairs;18.18
2025-12-19;Granite Works Ltd;software;1730.94
2025-06-27;Granite Works Ltd;rent;2612.44
2025-10-09;Kestrel Software;training;20.57
2025-10-13;Atlas Freight;training;1.23
2025-11-11;Harbor Logistics;rent;48.45
2025-05-24;Beacon Print Co;logistics;80.15
2025-09-06;Larkspur Media;travel;815.92
2025-04-02;Copperfield Repairs;telecom;17117.17
2025-12-25;Larkspur Media;stationery;150.74
2025-12-18;Atlas Freight;telecom;435.35
2025-07-04;Northwind Supplies;repairs;18449.89
2025-10-11;Pinemark Services;rent;32.68
2025-05-26;Delta Facilities;software;14.68
2025-01-21;Granite Works Ltd;stationery;3020.20
2025-04-20;Copperfield Repairs;repairs;935.65
2025-09-21;Kestrel Software;rent;95886.29
2025-02-09;Beacon Print Co;telecom;3.01
2025-06-03;Northwind Supplies;repairs;621.13
2025-09-16;Copperfield Repairs;repairs;193.84
2025-07-11;Copperfield Repairs;telecom;54.84
2025-04-29;Kestrel Software;advertising;21551.97
2025-01-28;Kestrel Software;travel;4045.34
2025-09-14;Northwind Supplies;software;8.35
2025-12-29;Northwind Supplies;rent;54.06
2025-11-28;Harbor Logistics;software;363.42
2025-06-01;Granite Works Ltd;travel;253.34
2025-10-05;Northwind Supplies;logistics;818.91
2025-03-14;Delta Facilities;rent;1604.81
2025-07-04;Pinemark Services;software;452.77
2025-04-07;Atlas Freight;software;25.57
2025-08-17;Pinemark Services;telecom;99.80
2025-08-26;Copperfield Repairs;training;167.02
2025-01-07;Granite Works Ltd;software;213.46
2025-06-21;Atlas Freight;stationery;123.72
2025-06-24;Larkspur Media;software;1.32
2025-01-25;Delta Facilities;telecom;1362.76
2025-05-30;Delta Facilities;travel;10852.66
2025-06-02;Copperfield Repairs;telecom;112.25
2025-06-09;Atlas Freight;training;1.51
2025-05-13;Harbor Logistics;logistics;37.72
2025-11-03;Delta Facilities;travel;5000.43
2025-12-31;Kestrel Software;stationery;12.97
2025-06-07;Beacon Print Co;software;5098.34
2025-12-16;Pinemark Services;advertising;233.05
2025-03-30;Granite Works Ltd;software;777.27
2025-11-05;Harbor Logistics;travel;9644.48
2025-12-29;Granite Works Ltd;software;143.91
2025-08-21;Harbor Logistics;stationery;441.30
2025-08-13;Larkspur Media;training;2055.22
2025-04-23;Atlas Freight;training;593.66
2025-04-21;Northwind Supplies;rent;226.96
2025-09-14;Beacon Print Co;training;79.48
2025-06-27;Larkspur Media;travel;26.75
2025-01-13;Granite Works Ltd;travel;221.27
2025-07-11;Larkspur Media;repairs;274.23
2025-04-03;Copperfield Repairs;travel;150.04
2025-09-17;Harbor Logistics;rent;851.83
2025-09-20;Harbor Logistics;travel;141.57
2025-04-13;Atlas Freight;repairs;65836.39
2025-05-06;Beacon Print Co;software;1513.14
2025-11-23;Pinemark Services;rent;274.59
2025-02-18;Larkspur Media;software;1971.72
2025-06-11;Kestrel Software;logistics;119.25
2025-06-06;Copperfield Repairs;logistics;341.97
2025-04-05;Harbor Logistics;travel;6515.24
2025-04-28;Copperfield Repairs;advertising;158.07
2025-05-19;Larkspur Media;repairs;5282802.71
2025-01-20;Copperfield Repairs;stationery;11541.40
2025-03-13;Harbor Logistics;travel;5607.45
2025-12-06;Kestrel Software;advertising;35.66
2025-09-18;Larkspur Media;advertising;13.45
2025-11-21;Harbor Logistics;rent;305.17
2025-12-15;Pinemark Services;repairs;125.26
2025-01-11;Larkspur Media;stationery;2954.88
2025-04-22;Northwind Supplies;stationery;54.24
2025-03-24;Copperfield Repairs;stationery;36907.59
2025-03-03;Delta Facilities;logistics;2.34
2025-09-10;Pinemark Services;rent;45.50
2025-02-09;Copperfield Repairs;software;1.76
2025-02-21;Kestrel Software;repairs;947.85
2025-10-03;Copperfield Repairs;repairs;28.87
2025-12-16;Granite Works Ltd;repairs;33829.58
2025-05-17;Larkspur Media;travel;5126.84
2025-03-15;Beacon Print Co;logistics;53.20
2025-02-17;Kestrel Software;training;3026.51
2025-03-30;Larkspur Media;software;8335.19
2025-08-13;Harbor Logistics;rent;6.65
2025-05-03;Beacon Print Co;repairs;7.21
2025-10-29;Larkspur Media;rent;27.08
2025-08-19;Kestrel Software;training;482213.44
2025-05-12;Beacon Print Co;training;242.05
2025-12-24;Copperfield Repairs;travel;4.10
2025-05-05;Pinemark Services;rent;147.53
2025-06-28;Larkspur Media;software;1942.48
2025-07-10;Beacon Print Co;rent;8101.83
2025-09-22;Atlas Freight;repairs;2479.38
2025-12-23;Pinemark Services;repairs;15395.21
2025-01-28;Harbor Logistics;repairs;15.68
2025-10-22;Harbor Logistics;logistics;3.70
2025-12-23;Harbor Logistics;repairs;51.79
2025-05-25;Granite Works Ltd;telecom;335.41
2025-08-06;Atlas Freight;advertising;4.72
2025-03-12;Delta Facilities;training;47.73
2025-04-27;Kestrel Software;logistics;586.27
2025-06-16;Kestrel Software;advertising;454.60
2025-07-03;Copperfield Repairs;advertising;457.17
2025-12-03;Atlas Freight;repairs;279.14
2025-01-19;Kestrel Software;rent;2401.56
2025-03-04;Copperfield Repairs;travel;4636.90
2025-09-17;Delta Facilities;software;43.01
2025-04-14;Harbor Logistics;repairs;628.59
2025-07-15;Atlas Freight;telecom;16.76
2025-08-20;Beacon Print Co;advertising;55.61
2025-01-24;Atlas Freight;logistics;144310.29
2025-02-04;Larkspur Media;stationery;15190.64
2025-10-11;Northwind Supplies;rent;182.61
2025-01-25;Northwind Supplies;travel;705.58
2025-12-09;Larkspur Media;telecom;3470.10
2025-12-25;Pinemark Services;stationery;20.03
2025-02-07;Northwind Supplies;travel;77.44
2025-12-25;Kestrel Software;rent;0.96
2025-07-21;Atlas Freight;travel;57703.10
2025-04-27;Delta Facilities;stationery;58.91
2025-01-18;Larkspur Media;telecom;8422.81
2025-05-13;Northwind Supplies;rent;852.07
2025-05-04;Harbor Logistics;telecom;70.25
2025-07-28;Larkspur Media;software;5517.49
2025-04-16;Atlas Freight;telecom;5221.65
2025-09-11;Pinemark Services;repairs;617.17
2025-01-14;Larkspur Media;telecom;154.75
2025-11-22;Harbor Logistics;logistics;49.70
2025-08-04;Copperfield Repairs;software;73.52
2025-09-24;Copperfield Repairs;repairs;666.31
2025-07-09;Kestrel Software;telecom;30.78
2025-07-08;Larkspur Media;software;118.38
2025-01-13;Granite Works Ltd;software;8130.52
2025-06-16;Granite Works Ltd;rent;16.73
2025-10-21;Northwind Supplies;training;206.55
2025-12-14;Atlas Freight;repairs;28.07
2025-04-25;Granite Works Ltd;software;4898.26
2025-09-24;Beacon Print Co;advertising;245.25
2025-01-27;Beacon Print Co;repairs;13687.87
2025-03-21;Delta Facilities;logistics;126.76
2025-07-31;Northwind Supplies;advertising;33.00
2025-03-11;Copperfield Repairs;logistics;107.23
2025-01-13;Pinemark Services;telecom;64.63
2025-10-26;Delta Facilities;travel;1.83
2025-09-11;Pinemark Services;advertising;23.60
2025-10-09;Delta Facilities;rent;110.19
2025-07-16;Copperfield Repairs;stationery;3727.05
2025-07-25;Delta Facilities;logistics;3514.13
2025-11-16;Harbor Logistics;repairs;1872.15
2025-08-20;Beacon Print Co;software;485.80
2025-02-26;Larkspur Media;training;1171.43
2025-06-06;Delta Facilities;repairs;29641.28
2025-05-03;Pinemark Services;rent;594.31
2025-11-11;Pinemark Services;travel;342.37
2025-08-05;Beacon Print Co;rent;0.97
2025-04-16;Atlas Freight;software;5204.55
2025-12-14;Harbor Logistics;rent;57105.21
2025-04-06;Northwind Supplies;advertising;2293.96
2025-08-02;Atlas Freight;travel;26.42
2025-09-06;Granite Works Ltd;telecom;7012.01
2025-09-18;Beacon Print Co;rent;22.57
2025-04-10;Kestrel Software;training;1.94
2025-09-03;Granite Works Ltd;logistics;348.96
2025-01-09;Granite Works Ltd;software;288.36
2025-03-29;Delta Facilities;rent;5.57
2025-05-23;Atlas Freight;travel;1.85
2025-11-29;Atlas Freight;advertising;81.68
2025-03-08;Beacon Print Co;repairs;0.64
2025-03-08;Delta Facilities;travel;1701.78
2025-08-19;Atlas Freight;advertising;99.30
2025-10-08;Beacon Print Co;training;60.22
2025-03-09;Harbor Logistics;stationery;239.13
2025-05-23;Pinemark Services;logistics;751.61
2025-06-05;Kestrel Software;repairs;576.32
2025-11-18;Kestrel Software;rent;3213.37
2025-04-26;Beacon Print Co;rent;31.16
2025-07-16;Northwind Supplies;logistics;176.14
2025-10-28;Harbor Logistics;travel;55351.13
2025-05-07;Harbor Logistics;logistics;168.98
2025-09-24;Copperfield Repairs;stationery;119.88
2025-09-01;Delta Facilities;repairs;3400.28
2025-03-27;Granite Works Ltd;repairs;15.18
2025-01-15;Northwind Supplies;software;7507.23
2025-05-21;Northwind Supplies;rent;379.94
2025-05-24;Granite Works Ltd;rent;5032.47
2025-11-14;Granite Works Ltd;rent;1.25
2025-06-20;Pinemark Services;telecom;190.59
2025-04-19;Beacon Print Co;rent;3595.10
2025-02-13;Beacon Print Co;rent;358.92
2025-05-23;Delta Facilities;software;211.24
2025-10-16;Pinemark Services;telecom;143.75
2025-12-16;Northwind Supplies;logistics;490.49
2025-03-05;Pinemark Services;repairs;12.48
2025-07-29;Larkspur Media;telecom;183.53
2025-10-13;Larkspur Media;repairs;191.94
2025-08-30;Atlas Freight;repairs;488.90
2025-08-16;Granite Works Ltd;training;822.66
2025-01-01;Delta Facilities;telecom;39.52
2025-04-04;Copperfield Repairs;telecom;3505.06
2025-12-28;Pinemark Services;software;2738.56
2025-05-18;Copperfield Repairs;stationery;97962.24
2025-08-14;Atlas Freight;repairs;10931.62
2025-04-08;Granite Works Ltd;travel;3033.84
2025-02-28;Harbor Logistics;telecom;121.44
2025-06-21;Kestrel Software;logistics;128.91
2025-02-22;Granite Works Ltd;software;1854.02
2025-01-02;Granite Works Ltd;advertising;4044.32
2025-08-24;Delta Facilities;telecom;895750.16
2025-04-03;Kestrel Software;software;255.48
2025-01-18;Delta Facilities;software;162.02
2025-05-13;Larkspur Media;repairs;26875.41
2025-02-11;Northwind Supplies;advertising;430.35
2025-09-10;Granite Works Ltd;training;920.22
2025-09-23;Granite Works Ltd;repairs;1925.47
2025-05-26;Northwind Supplies;stationery;7086.96
2025-12-17;Beacon Print Co;repairs;62064.19
2025-07-07;Northwind Supplies;repairs;10758.40
2025-02-10;Kestrel Software;logistics;127.85
2025-12-31;Copperfield Repairs;rent;1794.52
2025-01-09;Kestrel Software;rent;83.37
2025-01-20;Kestrel Software;stationery;3.34
2025-04-11;Granite Works Ltd;repairs;246.56
2025-08-27;Harbor Logistics;training;7.02
2025-07-29;Atlas Freight;travel;389.95
2025-10-28;Northwind Supplies;repairs;45.55
2025-08-31;Pinemark Services;rent;448.01
2025-03-13;Kestrel Software;advertising;6661.72
2025-04-13;Granite Works Ltd;travel;1097.19
2025-02-24;Granite Works Ltd;telecom;3276.29
2025-11-21;Kestrel Software;travel;312.90
2025-12-14;Kestrel Software;software;345232.08
2025-08-17;Harbor Logistics;stationery;1475.65
2025-09-17;Kestrel Software;repairs;313.24
2025-12-11;Atlas Freight;rent;24.54
2025-06-25;Copperfield Repairs;travel;593.10
2025-11-11;Beacon Print Co;training;110.41
2025-08-12;Copperfield Repairs;training;673.53
2025-11-01;Pinemark Services;rent;238.31
2025-09-17;Northwind Supplies;travel;11865.21
2025-06-18;Atlas Freight;training;2801.04
2025-02-11;Atlas Freight;advertising;9.86
2025-07-25;Beacon Print Co;repairs;1945.07
2025-10-04;Atlas Freight;stationery;531.21
2025-05-22;Atlas Freight;stationery;16.66
2025-04-29;Beacon Print Co;travel;6404.14
2025-07-13;Copperfield Repairs;training;73298.35
2025-11-23;Granite Works Ltd;travel;10965.91
2025-09-14;Northwind Supplies;logistics;242875.06
2025-01-29;Northwind Supplies;training;140.16
2025-06-24;Copperfield Repairs;rent;66.68
2025-01-28;Larkspur Media;travel;328.93
2025-09-23;Harbor Logistics;logistics;330.18
2025-01-25;Pinemark Services;travel;19.11
2025-06-23;Harbor Logistics;logistics;9.40
2025-06-19;Atlas Freight;advertising;9.73
2025-07-23;Delta Facilities;telecom;570.48
2025-12-31;Larkspur Media;rent;76.85
2025-05-12;Larkspur Media;training;305.42
2025-11-27;Pinemark Services;software;432.95
2025-04-06;Beacon Print Co;telecom;3.39
2025-11-23;Copperfield Repairs;training;2419.46
2025-03-17;Beacon Print Co;training;738.21
2025-10-30;Harbor Logistics;telecom;74.13
2025-04-26;Delta Facilities;training;63.38
2025-06-08;Delta Facilities;rent;882.33
2025-01-07;Kestrel Software;logistics;81.87
2025-07-24;Pinemark Services;stationery;971.64
2025-07-13;Harbor Logistics;stationery;40698.05
2025-11-01;Harbor Logistics;telecom;76.99
2025-01-20;Copperfield Repairs;repairs;252.99
2025-01-03;Beacon Print Co;logistics;1019.44
2025-02-21;Northwind Supplies;rent;59.08
2025-12-21;Atlas Freight;travel;12095.35
2025-01-08;Pinemark Services;software;1088.05
